产品线,总计,支付方式,毛利率百分比
运动旅行,942.9,信用卡,4.761904762
健康美容,720.3,现金,4.761904762
食品饮料,31.9305,信用卡,4.761904762
家居生活,491.085,电子钱包,4.761904762
健康美容,291.438,信用卡,4.761904762
时尚配饰,316.47,电子钱包,4.761904762
时尚配饰,384.468,信用卡,4.761904762
食品饮料,103.824,电子钱包,4.761904762
运动旅行,680.148,现金,4.761904762
食品饮料,362.712,信用卡,4.761904762
时尚配饰,165.4485,信用卡,4.761904762
运动旅行,90.699,信用卡,4.761904762
家居生活,793.716,电子钱包,4.761904762
家居生活,293.202,信用卡,4.761904762
家居生活,242.676,信用卡,4.761904762
时尚配饰,154.392,电子钱包,4.761904762
食品饮料,829.71,现金,4.761904762
时尚配饰,78.0045,现金,4.761904762
家居生活,26.5545,电子钱包,4.761904762
食品饮料,374.7975,信用卡,4.761904762
运动旅行,120.645,信用卡,4.761904762
电子配件,241.458,现金,4.761904762
健康美容,217.6335,电子钱包,4.761904762
电子配件,629.8425,信用卡,4.761904762
家居生活,299.565,电子钱包,4.761904762
时尚配饰,95.6655,电子钱包,4.761904762
电子配件,942.4485,信用卡,4.761904762
食品饮料,881.307,现金,4.761904762
运动旅行,217.6335,现金,4.761904762
运动旅行,130.0425,现金,4.761904762
电子配件,298.116,现金,4.761904762
食品饮料,180.621,信用卡,4.761904762
时尚配饰,13.167,现金,4.761904762
运动旅行,183.036,信用卡,4.761904762
电子配件,571.41,现金,4.761904762
家居生活,532.728,电子钱包,4.761904762
时尚配饰,170.877,现金,4.761904762
电子配件,33.3585,信用卡,4.761904762
健康美容,794.6505,现金,4.761904762
运动旅行,195.594,电子钱包,4.761904762
时尚配饰,232.155,信用卡,4.761904762
电子配件,69.405,现金,4.761904762
电子配件,256.41,现金,4.761904762
运动旅行,30.219,信用卡,4.761904762
电子配件,709.317,电子钱包,4.761904762
时尚配饰,69.09,电子钱包,4.761904762
时尚配饰,160.86,现金,4.761904762
运动旅行,233.52,现金,4.761904762
运动旅行,723.24,信用卡,4.761904762
食品饮料,783.3,现金,4.761904762
家居生活,373.17,电子钱包,4.761904762
运动旅行,354.0075,电子钱包,4.761904762
健康美容,44.352,现金,4.761904762
家居生活,203.553,信用卡,4.761904762
家居生活,25.263,现金,4.761904762
健康美容,628.173,电子钱包,4.761904762
家居生活,229.11,现金,4.761904762
时尚配饰,400.764,电子钱包,4.761904762
家居生活,587.664,信用卡,4.761904762
运动旅行,16.107,现金,4.761904762
健康美容,200.214,现金,4.761904762
运动旅行,224.4375,现金,4.761904762
食品饮料,356.5485,信用卡,4.761904762
家居生活,697.368,现金,4.761904762
电子配件,65.604,现金,4.761904762
食品饮料,76.356,现金,4.761904762
电子配件,272.58,现金,4.761904762
家居生活,93.0405,现金,4.761904762
电子配件,214.998,信用卡,4.761904762
电子配件,125.664,现金,4.761904762
运动旅行,295.6905,现金,4.761904762
家居生活,745.836,现金,4.761904762
电子配件,83.412,电子钱包,4.761904762
时尚配饰,172.011,现金,4.761904762
食品饮料,74.7075,信用卡,4.761904762
健康美容,146.9475,现金,4.761904762
电子配件,820.365,现金,4.761904762
食品饮料,66.402,现金,4.761904762
健康美容,218.0745,信用卡,4.761904762
食品饮料,216.6885,现金,4.761904762
健康美容,41.391,现金,4.761904762
时尚配饰,324.2925,现金,4.761904762
电子配件,149.3625,信用卡,4.761904762
运动旅行,365.085,现金,4.761904762
电子配件,150.0975,信用卡,4.761904762
食品饮料,404.649,信用卡,4.761904762
健康美容,411.3795,电子钱包,4.761904762
健康美容,565.215,现金,4.761904762
食品饮料,509.4075,电子钱包,4.761904762
时尚配饰,736.4385,电子钱包,4.761904762
家居生活,749.7,现金,4.761904762
健康美容,141.75,信用卡,4.761904762
时尚配饰,1042.65,信用卡,4.761904762
时尚配饰,402.2655,信用卡,4.761904762
电子配件,31.752,现金,4.761904762
食品饮料,374.388,信用卡,4.761904762
时尚配饰,394.275,信用卡,4.761904762
运动旅行,1002.12,现金,4.761904762
食品饮料,793.548,现金,4.761904762
食品饮料,173.208,现金,4.761904762
时尚配饰,343.056,现金,4.761904762
电子配件,484.974,现金,4.761904762
运动旅行,150.78,现金,4.761904762
电子配件,193.011,现金,4.761904762
时尚配饰,128.016,信用卡,4.761904762
家居生活,441.693,电子钱包,4.761904762
家居生活,352.2225,信用卡,4.761904762
时尚配饰,507.675,电子钱包,4.761904762
家居生活,334.341,信用卡,4.761904762
电子配件,99.33,信用卡,4.761904762
电子配件,55.881,现金,4.761904762
食品饮料,523.3725,现金,4.761904762
食品饮料,314.538,电子钱包,4.761904762
食品饮料,214.935,电子钱包,4.761904762
健康美容,339.36,信用卡,4.761904762
时尚配饰,510.9615,电子钱包,4.761904762
时尚配饰,253.512,现金,4.761904762
时尚配饰,398.475,现金,4.761904762
运动旅行,548.73,信用卡,4.761904762
健康美容,83.727,电子钱包,4.761904762
健康美容,406.875,电子钱包,4.761904762
食品饮料,284.9175,电子钱包,4.761904762
健康美容,258.678,信用卡,4.761904762
食品饮料,248.409,信用卡,4.761904762
时尚配饰,208.6875,电子钱包,4.761904762
时尚配饰,718.7565,电子钱包,4.761904762
时尚配饰,288.582,现金,4.761904762
家居生活,237.426,电子钱包,4.761904762
时尚配饰,125.055,电子钱包,4.761904762
健康美容,359.205,现金,4.761904762
家居生活,190.596,信用卡,4.761904762
健康美容,85.5855,电子钱包,4.761904762
健康美容,120.162,电子钱包,4.761904762
电子配件,185.367,现金,4.761904762
食品饮料,121.59,电子钱包,4.761904762
电子配件,264.7575,现金,4.761904762
时尚配饰,1020.705,信用卡,4.761904762
食品饮料,65.7405,信用卡,4.761904762
家居生活,951.825,电子钱包,4.761904762
电子配件,147.798,电子钱包,4.761904762
时尚配饰,49.812,信用卡,4.761904762
电子配件,343.224,信用卡,4.761904762
运动旅行,742.812,信用卡,4.761904762
家居生活,843.0345,信用卡,4.761904762
运动旅行,140.385,现金,4.761904762
健康美容,20.1075,信用卡,4.761904762
健康美容,28.4235,信用卡,4.761904762
运动旅行,41.076,信用卡,4.761904762
电子配件,470.673,现金,4.761904762
食品饮料,333.9525,电子钱包,4.761904762
时尚配饰,155.19,现金,4.761904762
食品饮料,731.43,信用卡,4.761904762
电子配件,488.985,现金,4.761904762
食品饮料,767.025,信用卡,4.761904762
运动旅行,310.59,现金,4.761904762
食品饮料,23.751,现金,4.761904762
运动旅行,572.775,信用卡,4.761904762
健康美容,273.0525,信用卡,4.761904762
电子配件,103.782,现金,4.761904762
家居生活,527.751,电子钱包,4.761904762
运动旅行,168.21,现金,4.761904762
电子配件,338.31,现金,4.761904762
运动旅行,174.615,信用卡,4.761904762
电子配件,344.4,现金,4.761904762
运动旅行,388.29,信用卡,4.761904762
运动旅行,207.858,电子钱包,4.761904762
时尚配饰,431.445,现金,4.761904762
家居生活,734.076,电子钱包,4.761904762
时尚配饰,72.87,电子钱包,4.761904762
时尚配饰,206.43,信用卡,4.761904762
健康美容,212.688,电子钱包,4.761904762
家居生活,127.26,信用卡,4.761904762
电子配件,132.762,现金,4.761904762
食品饮料,568.512,现金,4.761904762
运动旅行,103.0365,现金,4.761904762
运动旅行,432.768,现金,4.761904762
时尚配饰,33.495,电子钱包,4.761904762
运动旅行,195.951,现金,4.761904762
运动旅行,152.775,现金,4.761904762
食品饮料,529.515,信用卡,4.761904762
家居生活,100.485,信用卡,4.761904762
运动旅行,666.939,信用卡,4.761904762
家居生活,225.2775,电子钱包,4.761904762
时尚配饰,398.958,电子钱包,4.761904762
时尚配饰,54.0435,电子钱包,4.761904762
电子配件,143.9865,信用卡,4.761904762
家居生活,523.971,现金,4.761904762
家居生活,235.872,信用卡,4.761904762
运动旅行,479.9025,电子钱包,4.761904762
食品饮料,570.78,信用卡,4.761904762
食品饮料,154.1295,电子钱包,4.761904762
家居生活,148.68,电子钱包,4.761904762
时尚配饰,77.658,信用卡,4.761904762
时尚配饰,306.81,信用卡,4.761904762
食品饮料,551.124,电子钱包,4.761904762
运动旅行,84.756,信用卡,4.761904762
食品饮料,74.76,信用卡,4.761904762
时尚配饰,308.91,电子钱包,4.761904762
运动旅行,270.585,现金,4.761904762
电子配件,416.178,现金,4.761904762
时尚配饰,513.2295,现金,4.761904762
健康美容,550.368,现金,4.761904762
时尚配饰,151.284,现金,4.761904762
食品饮料,1034.46,电子钱包,4.761904762
家居生活,228.123,电子钱包,4.761904762
电子配件,356.328,电子钱包,4.761904762
食品饮料,852.705,信用卡,4.761904762
运动旅行,517.965,信用卡,4.761904762
时尚配饰,621.243,现金,4.761904762
时尚配饰,586.971,信用卡,4.761904762
运动旅行,543.753,电子钱包,4.761904762
家居生活,430.71,信用卡,4.761904762
健康美容,269.934,现金,4.761904762
健康美容,326.256,现金,4.761904762
时尚配饰,195.258,信用卡,4.761904762
时尚配饰,75.936,信用卡,4.761904762
食品饮料,164.871,现金,4.761904762
运动旅行,226.065,电子钱包,4.761904762
家居生活,178.164,电子钱包,4.761904762
运动旅行,47.859,现金,4.761904762
运动旅行,236.88,电子钱包,4.761904762
运动旅行,440.937,电子钱包,4.761904762
时尚配饰,193.4625,现金,4.761904762
家居生活,147.672,电子钱包,4.761904762
时尚配饰,68.2395,信用卡,4.761904762
运动旅行,343.413,电子钱包,4.761904762
时尚配饰,381.3915,现金,4.761904762
时尚配饰,394.3275,电子钱包,4.761904762
食品饮料,209.118,信用卡,4.761904762
电子配件,30.408,信用卡,4.761904762
食品饮料,935.2665,现金,4.761904762
运动旅行,365.904,电子钱包,4.761904762
时尚配饰,273.798,电子钱包,4.761904762
食品饮料,225.792,信用卡,4.761904762
食品饮料,96.1905,现金,4.761904762
家居生活,695.2365,信用卡,4.761904762
时尚配饰,874.125,信用卡,4.761904762
食品饮料,165.648,现金,4.761904762
时尚配饰,12.6945,信用卡,4.761904762
电子配件,48.51,现金,4.761904762
食品饮料,92.5575,现金,4.761904762
食品饮料,311.1885,电子钱包,4.761904762
电子配件,743.82,电子钱包,4.761904762
食品饮料,609.168,信用卡,4.761904762
运动旅行,32.529,现金,4.761904762
健康美容,351.603,现金,4.761904762
电子配件,49.4235,信用卡,4.761904762
电子配件,104.6745,信用卡,4.761904762
时尚配饰,277.6725,电子钱包,4.761904762
运动旅行,146.6325,现金,4.761904762
运动旅行,135.3555,现金,4.761904762
时尚配饰,370.125,信用卡,4.761904762
食品饮料,914.55,信用卡,4.761904762
运动旅行,207.48,现金,4.761904762
时尚配饰,204.246,电子钱包,4.761904762
健康美容,75.474,电子钱包,4.761904762
健康美容,300.573,电子钱包,4.761904762
运动旅行,85.302,信用卡,4.761904762
健康美容,231.2415,电子钱包,4.761904762
电子配件,477.54,信用卡,4.761904762
运动旅行,470.988,信用卡,4.761904762
食品饮料,308.574,现金,4.761904762
电子配件,41.454,现金,4.761904762
运动旅行,36.5505,信用卡,4.761904762
时尚配饰,310.716,电子钱包,4.761904762
运动旅行,145.404,电子钱包,4.761904762
家居生活,103.11,信用卡,4.761904762
运动旅行,136.143,信用卡,4.761904762
食品饮料,211.365,现金,4.761904762
运动旅行,663.2955,现金,4.761904762
时尚配饰,539.343,现金,4.761904762
食品饮料,497.07,现金,4.761904762
家居生活,458.6925,现金,4.761904762
运动旅行,113.568,电子钱包,4.761904762
时尚配饰,507.444,电子钱包,4.761904762
时尚配饰,207.585,信用卡,4.761904762
家居生活,835.2855,现金,4.761904762
电子配件,180.6,电子钱包,4.761904762
家居生活,317.226,电子钱包,4.761904762
电子配件,733.6035,电子钱包,4.761904762
健康美容,130.8825,电子钱包,4.761904762
健康美容,187.32,信用卡,4.761904762
时尚配饰,525.231,电子钱包,4.761904762
时尚配饰,110.124,信用卡,4.761904762
时尚配饰,187.866,现金,4.761904762
运动旅行,856.4535,现金,4.761904762
食品饮料,270.2595,现金,4.761904762
健康美容,239.4,现金,4.761904762
家居生活,383.523,现金,4.761904762
时尚配饰,93.744,信用卡,4.761904762
家居生活,596.82,信用卡,4.761904762
运动旅行,150.423,电子钱包,4.761904762
运动旅行,266.028,信用卡,4.761904762
食品饮料,40.341,现金,4.761904762
家居生活,55.2825,信用卡,4.761904762
家居生活,116.1405,信用卡,4.761904762
时尚配饰,93.744,电子钱包,4.761904762
食品饮料,143.22,信用卡,4.761904762
电子配件,182.91,电子钱包,4.761904762
时尚配饰,267.3405,电子钱包,4.761904762
时尚配饰,817.236,信用卡,4.761904762
电子配件,300.216,电子钱包,4.761904762
家居生活,608.076,现金,4.761904762
食品饮料,232.638,电子钱包,4.761904762
食品饮料,810.6,信用卡,4.761904762
时尚配饰,536.592,电子钱包,4.761904762
健康美容,56.1225,电子钱包,4.761904762
家居生活,801.864,电子钱包,4.761904762
时尚配饰,239.589,信用卡,4.761904762
电子配件,401.688,现金,4.761904762
家居生活,72.009,现金,4.761904762
运动旅行,401.268,电子钱包,4.761904762
健康美容,631.1445,信用卡,4.761904762
运动旅行,499.7265,电子钱包,4.761904762
食品饮料,55.041,信用卡,4.761904762
食品饮料,151.515,信用卡,4.761904762
运动旅行,397.992,电子钱包,4.761904762
时尚配饰,32.151,信用卡,4.761904762
家居生活,369.684,现金,4.761904762
健康美容,53.34,电子钱包,4.761904762
健康美容,57.6975,信用卡,4.761904762
家居生活,1022.385,信用卡,4.761904762
电子配件,97.881,信用卡,4.761904762
家居生活,63.9135,现金,4.761904762
运动旅行,257.145,现金,4.761904762
电子配件,253.68,电子钱包,4.761904762
时尚配饰,462.672,现金,4.761904762
电子配件,714.3255,现金,4.761904762
家居生活,325.374,现金,4.761904762
运动旅行,195.678,信用卡,4.761904762
电子配件,210.966,现金,4.761904762
健康美容,18.6375,现金,4.761904762
时尚配饰,652.89,电子钱包,4.761904762
电子配件,422.73,信用卡,4.761904762
运动旅行,341.0925,信用卡,4.761904762
电子配件,408.408,现金,4.761904762
食品饮料,446.964,电子钱包,4.761904762
时尚配饰,333.984,现金,4.761904762
家居生活,100.128,信用卡,4.761904762
健康美容,216.4365,现金,4.761904762
运动旅行,441.588,信用卡,4.761904762
运动旅行,92.442,信用卡,4.761904762
健康美容,681.4395,信用卡,4.761904762
电子配件,779.31,信用卡,4.761904762
运动旅行,99.54,现金,4.761904762
家居生活,299.3655,电子钱包,4.761904762
运动旅行,184.086,电子钱包,4.761904762
运动旅行,82.887,信用卡,4.761904762
食品饮料,31.227,信用卡,4.761904762
运动旅行,23.499,信用卡,4.761904762
食品饮料,688.716,现金,4.761904762
时尚配饰,624.33,现金,4.761904762
时尚配饰,206.808,电子钱包,4.761904762
电子配件,554.295,电子钱包,4.761904762
健康美容,503.7375,电子钱包,4.761904762
时尚配饰,345.0195,现金,4.761904762
家居生活,118.902,现金,4.761904762
食品饮料,450.1035,现金,4.761904762
家居生活,90.5835,电子钱包,4.761904762
家居生活,106.596,信用卡,4.761904762
家居生活,375.3645,现金,4.761904762
电子配件,250.7085,现金,4.761904762
健康美容,131.922,电子钱包,4.761904762
电子配件,225.015,现金,4.761904762
电子配件,756.168,信用卡,4.761904762
电子配件,101.64,电子钱包,4.761904762
食品饮料,348.705,电子钱包,4.761904762
时尚配饰,85.512,信用卡,4.761904762
家居生活,216.846,电子钱包,4.761904762
食品饮料,175.014,现金,4.761904762
电子配件,771.435,电子钱包,4.761904762
时尚配饰,102.396,电子钱包,4.761904762
健康美容,439.215,现金,4.761904762
电子配件,486.444,现金,4.761904762
时尚配饰,485.5725,信用卡,4.761904762
食品饮料,297.801,现金,4.761904762
电子配件,423.738,信用卡,4.761904762
健康美容,145.5825,信用卡,4.761904762
健康美容,122.472,电子钱包,4.761904762
家居生活,329.196,现金,4.761904762
健康美容,435.12,信用卡,4.761904762
食品饮料,167.034,电子钱包,4.761904762
家居生活,514.605,信用卡,4.761904762
食品饮料,91.8225,信用卡,4.761904762
电子配件,235.746,电子钱包,4.761904762
家居生活,782.208,现金,4.761904762
食品饮料,313.74,现金,4.761904762
电子配件,223.587,现金,4.761904762
时尚配饰,397.614,现金,4.761904762
电子配件,82.719,电子钱包,4.761904762
家居生活,338.2155,信用卡,4.761904762
家居生活,103.131,现金,4.761904762
家居生活,26.733,信用卡,4.761904762
运动旅行,611.079,信用卡,4.761904762
运动旅行,221.886,电子钱包,4.761904762
电子配件,57.876,电子钱包,4.761904762
健康美容,374.409,信用卡,4.761904762
电子配件,833.9625,信用卡,4.761904762
时尚配饰,175.035,信用卡,4.761904762
食品饮料,781.62,电子钱包,4.761904762
家居生活,397.845,电子钱包,4.761904762
健康美容,579.8415,电子钱包,4.761904762
运动旅行,469.77,现金,4.761904762
健康美容,290.0835,现金,4.761904762
食品饮料,360.927,电子钱包,4.761904762
家居生活,479.64,电子钱包,4.761904762
电子配件,690.018,信用卡,4.761904762
食品饮料,222.012,电子钱包,4.761904762
家居生活,68.985,电子钱包,4.761904762
食品饮料,263.97,电子钱包,4.761904762
食品饮料,88.368,现金,4.761904762
时尚配饰,312.8895,现金,4.761904762
家居生活,165.9,现金,4.761904762
食品饮料,932.337,现金,4.761904762
时尚配饰,16.275,信用卡,4.761904762
电子配件,80.367,信用卡,4.761904762
家居生活,314.685,电子钱包,4.761904762
健康美容,49.77,现金,4.761904762
电子配件,181.0725,信用卡,4.761904762
食品饮料,888.615,信用卡,4.761904762
食品饮料,313.572,现金,4.761904762
电子配件,26.7225,信用卡,4.761904762
食品饮料,71.1585,信用卡,4.761904762
运动旅行,921.186,电子钱包,4.761904762
时尚配饰,334.4775,电子钱包,4.761904762
健康美容,30.996,电子钱包,4.761904762
食品饮料,296.94,信用卡,4.761904762
运动旅行,804.3,电子钱包,4.761904762
电子配件,63.9975,电子钱包,4.761904762
家居生活,1022.49,电子钱包,4.761904762
时尚配饰,649.299,现金,4.761904762
